Date;Steps;CNT;QTY;ZipCode
'200610;[ 2, 3);5698;14186;10000
'200604;[50,..);231;58167;10431
'200604;[ 1, 2);695;1015;10432
'200502;[ 2, 3);119;299;10433
'200606;[ 7, 8);585;4389;10434
'200509;[25,30);105;2851;10435
'200509;[ 4, 5);156;702;10436
'200701;[ 2, 3);102354;25551;10437
'200510;[ 7, 8);159;1192;10438
'200405;[45,50);8;384;10439
'200303;[ 3, 4);37;127;10440
'200311;[ 3, 4);48;170;10441
'200207;[12,14);22;284;10442
'200304;[ 4, 5);33;148;10443
'199505;[ 9,10);1;10;10444
'199711;[ 9,10);2;19;10445
'200110;[ 9,10);4;37;10446
'200309;[ 9,10);37;351;10447
'199908;[ 0, 0];151;0;10551
'199912;[ 0, 0];158;0;10552
'199912;[ 1, 2);7;10;10553
'200205;[ 1, 2);17;25;10554
'199504;[ 0, 0];142;0;10555
'200304;[ 1, 2);27;39;10556
'199212;[25,30);2;53;10557
'199310;[ 4, 5);4;18;10558
'199812;[ 4, 5);4;18;10559
'199807;[25,30);2;53;10560
'200111;[ 7, 8);3;22;10561
'199701;[ 4, 5);4;18;10562
'200101;[ 4, 5);7;31;10563
'199907;[ 9,10);1;10;10564
'200211;[ 9,10);26;246;10671
'199407;[ 1, 2);5;8;10672
'200012;[ 1, 2);10;14;10673
'199906;( 0, 1);24;5;10674
'200703;[ 8, 9);95329;809637;10675
'200703;[45,50);2588;122548;10676
'200105;[ 2, 3);14;35;10677
'199911;[ 2, 3);7;18;10678
'200107;[50,..);5;479;10679
'199507;[ 2, 3);6;15;10680
'200002;[25,30);3;84;10681
'199902;[ 6, 7);2;13;10682
'199906;[ 6, 7);3;20;10683
'199606;[30,35);2;64;11141
'199911;[30,35);3;97;11142
'199701;[ 7, 8);2;14;11143
'199805;[ 7, 8);2;14;11144
'200104;[ 8, 9);2;17;11145
'200804;[45,50);2772;131093;11146
'199410;[16,18);1;16;11147
'199604;[14,16);1;16;11251
'200803;[14,16);116691;1744982;11252
'200803;[16,18);87262;1478971;11253
'199908;[18,20);1;19;11254
'199909;[18,20);1;19;11255
'199607;[12,14);1;14;11256
'200811;[10,12);182992;2002385;11257
'200101;[20,25);4;86;11361
'199801;[20,25);3;65;11362
'200904;[ 7, 8);10631;795806;11363
'200907;[14,16);109756;1641241;11364
'199306;[30,35);1;33;11471
'200908;[18,20);56604;1071946;11472
'201003;[45,50);2081;98481;11473
'201002;( 0, 1);157231;81317;11474
'201006;[ 1, 2);108942;161088;11475
'201005;[18,20);63026;1193336;11476
'201007;[20,25);78259;1732863;11521
'199212;[10,12);1;10;11522
'201012;[ 2, 3);111456;276029;11523
'201103;[ 1, 2);120993;174373;11524
'201107;[ 5, 6);111935;613827;11525
'201108;[10,12);172084;1884411;11526
'199908;[ 6, 7);1;6;11527
'201112;[12,14);144384;1868420;11528
'199110;[ 7, 8);1;7;11571
'199207;[ 7, 8);1;7;11631
'199107;[ 7, 8);1;7;11632
'201209;[40,45);4561;192822;11633
'201206;[16,18);76378;1292577;11634
'201302;[35,40);2422;90084;11635
'201305;[ 8, 9);99954;848385;11636
'198011;[ 0, 0];1;0;11741
'198409;[ 0, 0];1;0;11742
'198508;[ 0, 0];1;0;11743
'201311;[ 7, 8);107904;808414;11744
'201401;[18,20);43976;831482;11745
'201404;[ 6, 7);104476;676598;11851
'201404;[50,..);5128;882111;11852
'201401;[10,12);17501;1916487;11853
'201406;[ 2, 3);102319;255236;11854
'200610;[16,18);4426;75116;11855
'200608;[ 7, 8);889;6686;12131
'200606;[ 1, 2);887;1296;12132
'200601;[ 3, 4);266;925;12133
'200603;[ 4, 5);419;1881;12134
'200602;[16,18);252;4273;12135
'200304;[ 0, 0];626;0;12136
'200506;[25,30);82;2222;12137
'200309;[ 7, 8);53;399;12241
'200309;[10,12);50;542;12242
'200502;[ 9,10);79;747;12243
'200312;[ 6, 7);52;336;12244
'200404;[12,14);56;717;12351
'200308;[12,14);48;623;12461
'200311;[25,30);25;677;12462
'199207;[ 0, 0];139;0;13121
'199411;[ 0, 0];142;0;13122
'199207;[ 9,10);1;10;13123
'199904;[ 9,10);2;19;13231
'200003;[ 9,10);1;10;13232
'200108;[ 9,10);3;28;13341
'199505;[ 0, 0];141;0;13451
'199603;[25,30);2;53;13461
'199706;[ 4, 5);4;18;13561
'199906;[ 4, 5);5;22;13562
'199401;[25,30);2;53;13671
'199312;[ 1, 2);5;8;13672
'200007;( 0, 1);32;7;13673
'200112;( 0, 1);47;11;13674
'200703;[ 2, 3);101636;253383;13675
'199202;( 0, 1);16;2;13676
'199209;( 0, 1);16;2;13677
'199501;( 0, 1);22;4;13678
'199804;( 0, 1);22;5;13679
'200704;[50,..);9663;1354808;14121
'200702;[10,12);174321;1909416;14122
'200107;[12,14);7;91;14123
'199605;[ 2, 3);6;15;14231
'199603;[ 2, 3);6;15;14232
'200106;[ 5, 6);5;27;14233
'200707;[16,18);86687;1468782;14234
'199901;[30,35);3;96;14235
'199908;[ 7, 8);2;14;14341
'199510;[ 5, 6);1;6;14342
'200802;[ 3, 4);119414;417753;14343
'200712;[10,12);17894;1963279;14345
'200801;[16,18);85186;1443547;14451
'200805;[30,35);17877;575736;14452
'200106;[40,45);2;84;14561
'199904;[18,20);1;19;14562
'200811;[ 1, 2);117196;173337;14563
'200811;[ 7, 8);107664;806853;14564
'200009;[12,14);3;40;14565
'199308;[12,14);1;14;14568
'199301;[12,14);1;14;14569
'199309;[12,14);1;13;14574
'200902;[ 5, 6);119392;655759;14575
