MONTH,STEP_CODE,CNT,QTY
'200610,"[ 2, 3)","5,698","14,186"
'200604,"[50,..)",231,"58,167"
'200604,"[ 1, 2)",695,"1,015"
'200502,"[ 2, 3)",119,299
'200606,"[ 7, 8)",585,"4,389"
'200509,"[25,30)",105,"2,851"
'200509,"[ 4, 5)",156,702
'200701,"[ 2, 3)","102,354","255,510"
'200510,"[ 7, 8)",159,"1,192"
'200405,"[45,50)",8,384
'200303,"[ 3, 4)",37,127
'200311,"[ 3, 4)",48,170
'200207,"[12,14)",22,284
'200304,"[ 4, 5)",33,148
'199505,"[ 9,10)",1,10
'199711,"[ 9,10)",2,19
'200110,"[ 9,10)",4,37
'200309,"[ 9,10)",37,351
'199908,"[ 0, 0]",151,0
'199912,"[ 0, 0]",158,0
'199912,"[ 1, 2)",7,10
'200205,"[ 1, 2)",17,25
'199504,"[ 0, 0]",142,0
'200304,"[ 1, 2)",27,39
'199212,"[25,30)",2,53
'199310,"[ 4, 5)",4,18
'199812,"[ 4, 5)",4,18
'199807,"[25,30)",2,53
'200111,"[ 7, 8)",3,22
'199701,"[ 4, 5)",4,18
'200101,"[ 4, 5)",7,31
'199907,"[ 9,10)",1,10
'200211,"[ 9,10)",26,246
'199407,"[ 1, 2)",5,8
'200012,"[ 1, 2)",10,14
'199906,"( 0, 1)",24,5
'200703,"[ 8, 9)","95,329","809,637"
'200703,"[45,50)","2,588","122,548"
'200105,"[ 2, 3)",14,35
'199911,"[ 2, 3)",7,18
'200107,"[50,..)",5,479
'199507,"[ 2, 3)",6,15
'200002,"[25,30)",3,84
'199902,"[ 6, 7)",2,13
'199906,"[ 6, 7)",3,20
'199606,"[30,35)",2,64
'199911,"[30,35)",3,97
'199701,"[ 7, 8)",2,14
'199805,"[ 7, 8)",2,14
'200104,"[ 8, 9)",2,17
'200804,"[45,50)","2,772","131,093"
'199410,"[16,18)",1,16
'199604,"[14,16)",1,16
'200803,"[14,16)","116,691","1,744,982"
'200803,"[16,18)","87,262","1,478,971"
'199908,"[18,20)",1,19
'199909,"[18,20)",1,19
'199607,"[12,14)",1,14
'200811,"[10,12)","182,992","2,002,385"
'200101,"[20,25)",4,86
'199801,"[20,25)",3,65
'200904,"[ 7, 8)","106,310","795,806"
'200907,"[14,16)","109,756","1,641,241"
'199306,"[30,35)",1,33
'200908,"[18,20)","56,604","1,071,946"
'201003,"[45,50)","2,081","98,481"
'201002,"( 0, 1)","157,231","81,317"
'201006,"[ 1, 2)","108,942","161,088"
'201005,"[18,20)","63,026","1,193,336"
'201007,"[20,25)","78,259","1,732,863"
'199212,"[10,12)",1,10
'201012,"[ 2, 3)","111,456","276,029"
'201103,"[ 1, 2)","120,993","174,373"
'201107,"[ 5, 6)","111,935","613,827"
'201108,"[10,12)","172,084","1,884,411"
'199908,"[ 6, 7)",1,6
'201112,"[12,14)","144,384","1,868,420"
'199110,"[ 7, 8)",1,7
'199207,"[ 7, 8)",1,7
'199107,"[ 7, 8)",1,7
'201209,"[40,45)","4,561","192,822"
'201206,"[16,18)","76,378","1,292,577"
'201302,"[35,40)","2,422","90,084"
'201305,"[ 8, 9)","99,954","848,385"
'198011,"[ 0, 0]",1,0
'198409,"[ 0, 0]",1,0
'198508,"[ 0, 0]",1,0
'201311,"[ 7, 8)","107,904","808,414"
'201401,"[18,20)","43,976","831,482"
'201404,"[ 6, 7)","104,476","676,598"
'201404,"[50,..)","5,128","882,111"
'201401,"[10,12)","175,010","1,916,487"
'201406,"[ 2, 3)","102,319","255,236"
'200610,"[16,18)","4,426","75,116"
'200608,"[ 7, 8)",889,"6,686"
'200606,"[ 1, 2)",887,"1,296"
'200601,"[ 3, 4)",266,925
'200603,"[ 4, 5)",419,"1,881"
'200602,"[16,18)",252,"4,273"
'200304,"[ 0, 0]",626,0
'200506,"[25,30)",82,"2,222"
'200309,"[ 7, 8)",53,399
'200309,"[10,12)",50,542
'200502,"[ 9,10)",79,747
'200312,"[ 6, 7)",52,336
'200404,"[12,14)",56,717
'200308,"[12,14)",48,623
'200311,"[25,30)",25,677
'199207,"[ 0, 0]",139,0
'199411,"[ 0, 0]",142,0
'199207,"[ 9,10)",1,10
'199904,"[ 9,10)",2,19
'200003,"[ 9,10)",1,10
'200108,"[ 9,10)",3,28
'199505,"[ 0, 0]",141,0
'199603,"[25,30)",2,53
'199706,"[ 4, 5)",4,18
'199906,"[ 4, 5)",5,22
'199401,"[25,30)",2,53
'199312,"[ 1, 2)",5,8
'200007,"( 0, 1)",32,7
'200112,"( 0, 1)",47,11
'200703,"[ 2, 3)","101,636","253,383"
'199202,"( 0, 1)",16,2
'199209,"( 0, 1)",16,2
'199501,"( 0, 1)",22,4
'199804,"( 0, 1)",22,5
'200704,"[50,..)","9,663","1,354,808"
'200702,"[10,12)","174,321","1,909,416"
'200107,"[12,14)",7,91
'199605,"[ 2, 3)",6,15
'199603,"[ 2, 3)",6,15
'200106,"[ 5, 6)",5,27
'200707,"[16,18)","86,687","1,468,782"
'199901,"[30,35)",3,96
'199908,"[ 7, 8)",2,14
'199510,"[ 5, 6)",1,6
'200802,"[ 3, 4)","119,414","417,753"
'200712,"[10,12)","178,940","1,963,279"
'200801,"[16,18)","85,186","1,443,547"
'200805,"[30,35)","17,877","575,736"
'200106,"[40,45)",2,84
